14/7/2026, 8:41:12	13.248	18.751	255.192	30	34.7	29.8	35.4	83.983	3	3.313	0.032	3.297,3.308,3.318,3.329,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
14/7/2026, 8:41:46	13.243	16.71	228.109	30	34.8	29.8	35.4	84.147	3	3.311	0.028	3.297,3.308,3.314,3.325,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
14/7/2026, 8:42:49	13.257	19.771	263.792	30	34.8	29.9	35.5	84.507	3	3.31425	0.029	3.300,3.310,3.318,3.329,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
14/7/2026, 8:43:23	13.275	21.047	279.397	30	34.9	30	35.5	84.693	3	3.319	0.033	3.303,3.313,3.324,3.336,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
14/7/2026, 8:43:57	13.334	32.91	438.814	30	35	30	35.6	84.956	3	3.33325	0.048	3.311,3.325,3.338,3.359,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
14/7/2026, 8:44:31	13.367	38.268	507.867	30	35	30.1	35.8	85.305	3	3.34175	0.057	3.316,3.331,3.347,3.373,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
14/7/2026, 8:45:06	13.364	33.548	492.755	31	35.1	30.2	35.9	85.638	3	3.3395	0.047	3.318,3.331,3.344,3.365,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
14/7/2026, 8:45:40	13.367	35.589	448.225	31	35.1	30.2	36	85.907	3	3.3405	0.05	3.318,3.330,3.346,3.368,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
14/7/2026, 8:46:14	13.328	26.66	369.214	31	35.2	30.2	36	86.219	3	3.3365	0.043	3.316,3.329,3.342,3.359,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
14/7/2026, 8:46:48	13.32	21.302	362.345	31	35.3	30.3	36.1	86.457	3	3.334	0.042	3.315,3.326,3.338,3.357,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
